qv_bl,inv,delt,delq,na,baut
1.059573590288193579e+01,9.122500000000000000e+02,1.139237037709852984e+01,-6.383514536151972507e+00,1.470866630959125416e+02,-1.790000000000000036e+00
7.454200501625739328e+00,1.209250000000000000e+03,6.312567431489696901e+00,-1.470087277891566124e+00,2.228841610834552966e+02,-1.358336746353520086e+00
8.938649629518392814e+00,9.837500000000000000e+02,7.304694818001678414e+00,-3.548028859147610348e+00,2.935540356187418070e+02,-1.403726220291170002e+00
9.804042260674394882e+00,9.232500000000000000e+02,1.196349684403548963e+01,-4.423168297247084269e+00,1.368199542287216559e+02,-1.574849870520939943e+00
9.082960804166608781e+00,8.902500000000000000e+02,1.353656781157224032e+01,-5.596541769124731225e+00,9.331007176884213550e+01,-1.418765752960629900e+00
9.507744262775657873e+00,1.066250000000000000e+03,1.015408165581129651e+01,-6.183951125696135698e+00,1.738139067629248018e+02,-1.688225973291219928e+00
1.017958195521331888e+01,6.583138958477871938e+02,1.029321806650739290e+01,-3.165580158750161743e+00,2.528963973854352218e+02,-1.380007179113849958e+00
9.252621769451302214e+00,1.148750000000000000e+03,6.657974511750069269e+00,-2.089169881848834009e+00,2.589103008932808052e+02,-1.621249014918229925e+00
9.264831709059194509e+00,7.362500000008748202e+02,1.406136788499196655e+01,-5.088401275647583155e+00,6.823674501316283170e+01,-1.760110122896229923e+00
9.743458107221211861e+00,7.637500000000000000e+02,5.842832972534438341e+00,-4.072156256931657836e+00,2.103565467400916305e+02,-1.908904388336770008e+00
1.112814445887313575e+01,6.642763052114300990e+02,1.562546361424421093e+01,-4.953124081358591724e+00,2.647664555762412988e+02,-1.422466768685550109e+00
1.059872846664045909e+01,1.099250000000000000e+03,1.271966753175036047e+01,-7.217024231797673828e+00,1.525530682819713491e+02,-1.322885280578290024e+00
8.183466031838609211e+00,1.159750000000000000e+03,1.586161490771729632e+01,-6.609817562171172334e+00,3.712572866871351351e+01,-1.533280762972689892e+00
8.266666249456665838e+00,8.517500000000000000e+02,8.706063704879852594e+00,-4.073049766590663978e+00,1.896933605178661537e+02,-1.484068098125919999e+00
9.346628988480919276e+00,1.115750000000000000e+03,7.965802255718756442e+00,-2.564087072363073538e+00,4.217253780434717783e+02,-1.312114998727760051e+00
1.124782244925031094e+01,5.035644895929905260e+02,9.742336421636650812e+00,-2.047396013885443011e+00,4.076332385271642806e+02,-1.390063450909539977e+00
1.058379065679732278e+01,1.225750000000000000e+03,9.513589306202447915e+00,-6.106080992007206554e+00,4.452133808164375068e+02,-1.802159205674400022e+00
1.032208512213214568e+01,5.485524583719691236e+02,2.017190933352043203e+01,-7.543321721871793173e+00,9.084117371823550968e+01,-1.513214894866270033e+00
7.960302968298279325e+00,1.027750000000000000e+03,8.147385512631444726e+00,-1.390212298209050346e+00,1.655271900835792565e+02,-2.020209405083900123e+00
1.091615046342403872e+01,9.782500000000000000e+02,1.778612652734943822e+01,-2.049865306733343218e+00,3.151476442797394384e+02,-1.400084506285740105e+00
9.897684614406694337e+00,8.902500000000000000e+02,1.863075154896711183e+01,-4.438616467380206210e+00,1.149775860495202693e+02,-1.812011304501250031e+00
9.382344257926737541e+00,9.947500000000000000e+02,1.119656893127347530e+01,-3.263609400340262923e+00,1.846100496846317185e+02,-1.874415303821699963e+00
1.104251483672684309e+01,1.049750000000000000e+03,6.456350819987335399e+00,-4.240796272608871931e+00,2.475170107201205099e+02,-1.430037823323240032e+00
1.132821668617133248e+01,1.049750000000000000e+03,9.889165222278222700e+00,-5.264918522976888227e+00,3.780163168920287262e+02,-1.523976103859999931e+00
7.340129896408046584e+00,1.198250000000000000e+03,1.124980422570314431e+01,-5.699339706903729486e+00,3.249940512563344441e+02,-1.659719665216289997e+00
1.017255684371808933e+01,1.264250000000000000e+03,1.440739305822626193e+01,-4.449580924650760494e+00,1.216061886782460846e+02,-1.558019408333600087e+00
1.055247395634054186e+01,6.453536076727235695e+02,7.085328735244615928e+00,-2.824768336889444953e+00,1.053724719316178380e+02,-1.673413556236930111e+00
1.046982734046201280e+01,1.159750000000000000e+03,1.958769900669517483e+01,-3.219280810001887261e+00,2.820534544819270195e+02,-1.537405662917390003e+00
9.889022064659558353e+00,9.342500000000000000e+02,1.764711333490612333e+01,-4.157747356892037338e+00,1.454517155572915499e+02,-1.367907827105460106e+00
1.030428357521931559e+01,9.287500000000000000e+02,1.520631324896311298e+01,-4.622190039020589225e+00,3.761657923376678241e+02,-1.476597752719029932e+00
1.081057342520970366e+01,7.967500000000000000e+02,1.456581444912995948e+01,-7.159134643050046876e+00,2.776499493081237233e+02,-1.441756692994750066e+00
1.065569276287891221e+01,6.453536076727235695e+02,1.606929779732774932e+01,-1.867661795230413091e+00,3.452045729098339848e+02,-1.545484927711320067e+00
9.244685299401844247e+00,7.142499927645829985e+02,1.551789890890688639e+01,-6.394790109127010957e+00,3.492286811674453020e+02,-1.320689681815740091e+00
9.727088760951639657e+00,1.170750000000000000e+03,1.337312488164769775e+01,-2.407577929634205915e+00,2.500041174542806459e+02,-1.504480041017320024e+00
